Unnamed: 0,Alpha_1,Alpha_2,Alpha_3,Alpha_4,Beta_1,Beta_2,Beta_3,Beta_4,Delta_1,Delta_2,Delta_3,Delta_4,Theta_1,Theta_2,Theta_3,Theta_4,Gamma_1,Gamma_2,Gamma_3,Gamma_4,Section,slideNumber
15862,1.119,0.281,0.365,0.976,0.505,0.366,0.161,0.614,1.393,0.631,0.20600000000000002,1.341,1.123,0.493,0.327,1.069,0.345,0.231,0.222,0.326,1.0,4.0
15863,1.119,0.281,0.365,0.976,0.49700000000000005,0.38299999999999995,0.184,0.627,1.4340000000000002,0.6629999999999999,0.19,1.3730000000000002,1.163,0.524,0.3,1.099,0.375,0.251,0.249,0.35200000000000004,1.0,4.0
15864,1.119,0.281,0.365,0.976,0.48200000000000004,0.405,0.20600000000000002,0.636,1.4780000000000002,0.696,0.179,1.405,1.206,0.556,0.275,1.13,0.41,0.275,0.27699999999999997,0.381,1.0,4.0
15865,1.119,0.281,0.365,0.976,0.47,0.429,0.228,0.643,1.525,0.731,0.175,1.4380000000000002,1.254,0.588,0.251,1.1640000000000001,0.447,0.303,0.304,0.413,1.0,4.0
15866,1.119,0.281,0.365,0.976,0.47100000000000003,0.444,0.247,0.6459999999999999,1.5730000000000002,0.765,0.17300000000000001,1.4709999999999999,1.306,0.611,0.231,1.2009999999999998,0.484,0.33299999999999996,0.325,0.444,1.0,4.0
15867,1.119,0.281,0.365,0.968,0.485,0.43799999999999994,0.262,0.635,1.618,0.7929999999999999,0.17,1.501,1.3619999999999999,0.615,0.22899999999999998,1.237,0.514,0.36,0.335,0.466,1.0,4.0
15868,1.119,0.262,0.358,0.955,0.501,0.40399999999999997,0.27399999999999997,0.6,1.652,0.815,0.171,1.524,1.422,0.596,0.262,1.27,0.5379999999999999,0.382,0.331,0.47600000000000003,1.0,4.0
15869,1.119,0.187,0.33399999999999996,0.919,0.516,0.355,0.28600000000000003,0.541,1.676,0.838,0.18100000000000002,1.541,1.492,0.5670000000000001,0.33799999999999997,1.305,0.565,0.40399999999999997,0.32299999999999995,0.483,1.0,4.0
15870,1.119,0.151,0.316,0.873,0.516,0.318,0.3,0.475,1.676,0.87,0.21,1.565,1.492,0.5539999999999999,0.452,1.35,0.565,0.434,0.322,0.503,1.0,4.0
15871,1.119,0.146,0.304,0.846,0.516,0.313,0.316,0.42200000000000004,1.676,0.9129999999999999,0.26899999999999996,1.608,1.492,0.575,0.591,1.41,0.565,0.46799999999999997,0.32799999999999996,0.541,1.0,4.0
