Unnamed: 0,Alpha_1,Alpha_2,Alpha_3,Alpha_4,Beta_1,Beta_2,Beta_3,Beta_4,Delta_1,Delta_2,Delta_3,Delta_4,Theta_1,Theta_2,Theta_3,Theta_4,Gamma_1,Gamma_2,Gamma_3,Gamma_4,Section,slideNumber
15602,0.937,0.29600000000000004,0.505,1.193,0.08900000000000001,0.201,0.5379999999999999,0.07,0.948,0.039,0.129,0.975,0.16699999999999998,0.17800000000000002,0.415,0.23800000000000002,1.081,0.54,0.369,1.347,1.0,2.0
15603,0.843,0.253,0.495,1.151,0.079,0.187,0.537,0.071,0.26,0.011000000000000001,0.12,0.965,0.08199999999999999,0.168,0.467,0.19,0.355,0.469,0.41200000000000003,1.1640000000000001,1.0,2.0
15604,0.259,0.146,0.494,0.97,0.078,0.158,0.5479999999999999,0.086,0.26,0.10099999999999999,0.025,0.524,0.08199999999999999,0.153,0.53,0.141,0.355,0.32,0.47,0.17600000000000002,1.0,2.0
15605,0.259,0.045,0.5,0.114,0.078,0.12300000000000001,0.57,0.10800000000000001,0.26,0.22399999999999998,0.16,0.524,0.08199999999999999,0.142,0.583,0.141,0.355,0.077,0.529,0.17600000000000002,1.0,2.0
15606,0.259,0.32299999999999995,0.504,0.114,0.078,0.096,0.595,0.10800000000000001,0.26,0.253,0.34600000000000003,0.524,0.08199999999999999,0.14300000000000002,0.61,0.141,0.355,0.253,0.5710000000000001,0.17600000000000002,1.0,2.0
15607,0.259,0.622,0.49700000000000005,0.114,0.078,0.08900000000000001,0.614,0.10800000000000001,0.26,0.256,0.452,0.524,0.08199999999999999,0.158,0.606,0.141,0.355,0.588,0.596,0.17600000000000002,1.0,2.0
15608,0.259,0.78,0.478,0.114,0.078,0.099,0.622,0.10800000000000001,0.26,0.27,0.503,0.524,0.08199999999999999,0.185,0.586,0.141,0.355,0.8009999999999999,0.602,0.17600000000000002,1.0,2.0
15609,0.259,0.792,0.45799999999999996,0.114,0.078,0.11800000000000001,0.617,0.10800000000000001,0.26,0.316,0.508,0.524,0.08199999999999999,0.21899999999999997,0.561,0.141,0.355,0.8759999999999999,0.595,0.17600000000000002,1.0,2.0
15610,0.259,0.7659999999999999,0.447,0.114,0.078,0.135,0.606,0.10800000000000001,0.26,0.401,0.517,0.524,0.08199999999999999,0.254,0.545,0.141,0.355,0.9129999999999999,0.5710000000000001,0.17600000000000002,1.0,2.0
15611,0.259,0.73,0.45,0.114,0.078,0.142,0.5920000000000001,0.10800000000000001,0.259,0.474,0.5429999999999999,0.502,0.111,0.281,0.541,0.105,0.353,0.9279999999999999,0.54,0.158,1.0,2.0
15612,0.3,0.6859999999999999,0.469,0.109,0.095,0.128,0.583,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15613,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15614,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15615,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15616,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15617,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15618,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15619,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15620,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15621,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15622,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15623,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15624,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15625,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15626,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15627,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15628,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15629,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15630,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15631,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15632,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15633,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15634,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15635,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15636,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.259,0.568,0.5870000000000001,0.502,0.111,0.29600000000000004,0.547,0.105,0.353,0.946,0.511,0.158,1.0,2.0
15637,0.3,0.635,0.503,0.109,0.095,0.086,0.585,0.113,0.511,0.221,0.765,0.19,0.244,0.046,0.314,0.348,0.04,0.226,0.086,0.406,1.0,2.0
15638,0.442,0.38299999999999995,0.6659999999999999,0.152,0.006,0.529,0.281,0.165,0.514,0.221,0.593,0.07200000000000001,0.243,0.065,0.3,0.331,0.037000000000000005,0.272,0.128,0.371,1.0,2.0
15639,0.385,0.43200000000000005,0.593,0.09699999999999999,0.016,0.504,0.272,0.149,0.514,0.218,0.45,0.106,0.245,0.077,0.264,0.316,0.012,0.314,0.183,0.322,1.0,2.0
15640,0.34600000000000003,0.46799999999999997,0.544,0.057,0.039,0.466,0.258,0.129,0.514,0.218,0.34700000000000003,0.243,0.252,0.079,0.21,0.302,0.038,0.34299999999999997,0.23600000000000002,0.281,1.0,2.0
15641,0.331,0.483,0.524,0.038,0.059000000000000004,0.41200000000000003,0.24600000000000002,0.11,0.514,0.217,0.266,0.243,0.252,0.068,0.145,0.302,0.038,0.32899999999999996,0.271,0.281,1.0,2.0
15642,0.331,0.47600000000000003,0.527,0.038,0.059000000000000004,0.342,0.23600000000000002,0.11,0.514,0.217,0.225,0.243,0.252,0.046,0.079,0.302,0.038,0.267,0.299,0.281,1.0,2.0
15643,0.331,0.447,0.542,0.038,0.059000000000000004,0.273,0.222,0.11,0.514,0.203,0.212,0.243,0.252,0.013000000000000001,0.011000000000000001,0.302,0.038,0.11,0.317,0.281,1.0,2.0
15644,0.331,0.365,0.5539999999999999,0.038,0.059000000000000004,0.214,0.196,0.11,0.514,0.184,0.203,0.243,0.252,0.035,0.057999999999999996,0.302,0.038,0.13,0.321,0.281,1.0,2.0
15645,0.331,0.203,0.545,0.038,0.059000000000000004,0.165,0.151,0.11,0.514,0.146,0.203,0.243,0.252,0.099,0.12,0.302,0.038,0.36,0.316,0.281,1.0,2.0
15646,0.331,0.026000000000000002,0.505,0.038,0.059000000000000004,0.12,0.09699999999999999,0.11,0.514,0.11800000000000001,0.191,0.243,0.252,0.16899999999999998,0.166,0.302,0.038,0.528,0.305,0.281,1.0,2.0
15647,0.331,0.107,0.445,0.038,0.059000000000000004,0.077,0.05,0.11,0.514,0.111,0.184,0.243,0.252,0.225,0.19,0.302,0.038,0.627,0.299,0.281,1.0,2.0
